Product_ID,Product_Name,Category,Sub_Category,Brand
1,Ergonomic Charger Max,Home Goods, Kitchenware ,FashionForward
2,Wireless Charger Standard,Clothing,Apparel,TechGuru
3,Stylish Router Plus,Electronics,Laptops,HomeComfort
4,High-Performance Keyboard Mini,Electronics, Accessories ,StyleSpot
5,Ergonomic Router Mini,Home Goods,kitchenware,FashionForward
6,Portable Monitor Premium,Home Goods,Decor,BookWorm
7,Ergonomic Camera Pro,Electronics,accessories,TechGuru
8,Eco-Friendly Mouse Advanced,Office Supplies,Paper,Innovate
9,Smart Mouse Lite,Clothing,Accessories,OfficeMax
10,Wireless Mouse Ultra,Home Goods,Kitchenware,TechGuru
11,Wireless Speaker Max,Clothing,Apparel,HomeComfort
12,Digital Speaker Plus,Electronics, Smartphones ,HomeComfort
13,High-Performance Router Basic,Home Goods,Appliances,PaperWorks
14,High-Performance Camera Max,Books,Non-Fiction,Innovate
15,Compact Printer Pro,Clothing,Apparel,TechGuru
16,High-Performance Keyboard Standard,Books,Magazines,HomeComfort
17,Stylish Router Ultra,Home Goods,Bedding,Innovate
18,Digital Headphones Basic,Clothing,Footwear,ElectroGen
19,Wireless Camera Standard,Home Goods,Decor,TechGuru
20,Eco-Friendly Webcam Ultra,Books,Magazines,PaperWorks
21,Stylish Charger Pro,Clothing,Footwear,ElectroGen
22,High-Performance Monitor Basic,Clothing,Accessories,StyleSpot
23,Wireless Router Ultra,Clothing,Accessories,FashionForward
24,Digital Speaker Basic,Books,Textbooks,BookWorm
25,Wireless Printer Plus,Electronics,Wearables,BookWorm
26,Wireless Printer Plus,Books,Magazines,ElectroGen
27,Durable Headphones Lite,Office Supplies,Printers,TechGuru
28,Smart Router Lite,Books,Fiction,ElectroGen
29,Eco-Friendly Webcam Ultra,Electronics,Wearables,TechGuru
30,Compact Router Mini,Office Supplies,Furniture,StyleSpot
31,Stylish Headphones Pro,Office Supplies,Furniture,PaperWorks
32,Ergonomic Headphones Lite,Office Supplies,Printers,HomeComfort
33,Wireless Monitor Advanced,Electronics,accessories,OfficeMax
34,Digital Headphones Mini,Books,Non-Fiction,OfficeMax
35,Portable Monitor Advanced,Electronics,Wearables,StyleSpot
36,Smart Keyboard Plus,Home Goods,Decor,Innovate
37,Digital Camera Advanced,Clothing,Footwear,StyleSpot
38,Wireless Mouse Standard,Home Goods,Bedding,Innovate
39,Portable Camera Ultra,Office Supplies,Paper,TechGuru
40,Stylish Mouse Advanced,Office Supplies,Furniture,HomeComfort
41,Portable Charger Advanced,Electronics,Smartphones,ElectroGen
42,Stylish Camera Lite,Electronics,Accessories,TechGuru
43,Stylish Headphones Lite,Clothing,apparel,StyleSpot
44,Compact Keyboard Advanced,Home Goods,decor,TechGuru
45,Stylish Monitor Advanced,Electronics,Laptops,StyleSpot
46,Durable Printer Plus,Books,Magazines,BookWorm
47,High-Performance Headphones Advanced,Clothing,Footwear,Innovate
48,Ergonomic Charger Basic,Clothing,Footwear,Innovate
49,Wireless Keyboard Mini,Books,Textbooks,TechGuru
50,Wireless Router Basic,Office Supplies,Paper,StyleSpot
51,High-Performance Printer Lite,Office Supplies,Pens,BookWorm
52,Eco-Friendly Monitor Pro,Books,Textbooks,ElectroGen
53,Compact Router Lite,Clothing, Footwear ,PaperWorks
54,Wireless Speaker Advanced,Electronics,smartphones,Innovate
55,Smart Keyboard Basic,Office Supplies,Printers,BookWorm
56,Ergonomic Webcam Basic,Books,fiction,TechGuru
57,Portable Monitor Max,Office Supplies,Pens,Innovate
58,Digital Charger Premium,Clothing,Apparel,PaperWorks
59,Durable Camera Mini,Home Goods,Appliances,TechGuru
60,High-Performance Monitor Ultra,Books,Fiction,OfficeMax
61,Compact Charger Ultra,Home Goods,decor,BookWorm
62,Wireless Headphones Plus,Books,Magazines,OfficeMax
63,Wireless Camera Basic,Electronics,Accessories,FashionForward
64,Smart Speaker Advanced,Electronics,wearables,StyleSpot
65,Compact Charger Pro,Home Goods,kitchenware,PaperWorks
66,Portable Camera Pro,Office Supplies,Furniture,Innovate
67,Digital Monitor Standard,Electronics,Smartphones,TechGuru
68,Smart Camera Standard,Home Goods,Kitchenware,Innovate
69,Stylish Webcam Max,Home Goods,Bedding,PaperWorks
70,High-Performance Mouse Premium,Clothing,Footwear,StyleSpot
71,Smart Mouse Mini,Office Supplies, Printers ,PaperWorks
72,Smart Keyboard Premium,Home Goods,Kitchenware,HomeComfort
73,Digital Camera Lite,Books,Non-Fiction,StyleSpot
74,Eco-Friendly Webcam Standard,Electronics,Smartphones,TechGuru
75,Smart Printer Basic,Books,Fiction,ElectroGen
76,Portable Mouse Basic,Electronics,Laptops,HomeComfort
77,Stylish Camera Plus,Books,Non-Fiction,FashionForward
78,Eco-Friendly Headphones Lite,Books,textbooks,HomeComfort
79,Eco-Friendly Headphones Basic,Electronics,Laptops,BookWorm
80,Stylish Webcam Pro,Home Goods,decor,PaperWorks
81,High-Performance Webcam Advanced,Home Goods,Kitchenware,OfficeMax
82,Digital Webcam Pro,Books,Non-Fiction,TechGuru
83,Portable Headphones Max,Office Supplies,Pens,BookWorm
84,Smart Camera Pro,Office Supplies,Furniture,ElectroGen
85,Durable Keyboard Max,Electronics,Smartphones,Innovate
86,Durable Webcam Ultra,Books,Fiction,FashionForward
87,Durable Monitor Advanced,Electronics,Laptops,PaperWorks
88,Durable Keyboard Premium,Books,Fiction,StyleSpot
89,Wireless Printer Lite,Electronics,Wearables,Innovate
90,Ergonomic Webcam Mini,Clothing,Apparel,BookWorm
91,Durable Router Advanced,Office Supplies,Printers,ElectroGen
92,Compact Keyboard Max,Electronics,Accessories,FashionForward
93,Portable Speaker Plus,Electronics,Wearables,Innovate
94,Smart Speaker Advanced,Office Supplies,Printers,OfficeMax
95,Ergonomic Charger Premium,Home Goods,Bedding,Innovate
96,Durable Charger Premium,Electronics,Wearables,TechGuru
97,Compact Mouse Advanced,Home Goods,Bedding,OfficeMax
98,Wireless Charger Standard,Clothing,Apparel,StyleSpot
99,Digital Monitor Max,Clothing,Accessories,OfficeMax
100,Stylish Monitor Lite,Home Goods, Appliances ,PaperWorks
101,Portable Charger Advanced,Home Goods,Kitchenware,OfficeMax
